,lamp,disp,slit,pixel,wave
0,Neon,Red,0.86-high,1369.265746690618,8780.62
1,Neon,Red,0.86-high,1636.6965118001506,8495.36
2,Neon,Red,0.86-high,1747.3707691198927,8377.61
3,Neon,Red,0.86-high,1820.086569840317,8300.33
4,Neon,Red,0.86-high,2647.022635851863,7438.9
5,Neon,Red,0.86-high,2838.7444876991262,7245.17
6,Neon,Red,0.86-high,2909.963432792516,7173.94
7,Neon,Red,0.86-high,3052.775889431556,7032.41
8,Neon,Red,0.86-high,3157.9016144913717,6929.47
9,Neon,Red,0.86-high,3378.451884481013,6717.04
10,Neon,Red,0.86-high,3419.2924219768256,6678.28
11,Neon,Red,0.86-high,3503.5082015832077,6598.95
12,Neon,Red,0.86-high,3602.78576933319,6506.53
13,Neon,Red,0.86-high,3716.3892236051283,6402.25
14,Neon,Red,0.86-high,3791.273484222873,6334.43
15,Neon,Red,0.86-high,3867.151841737205,6266.5
16,Neon,Red,0.86-high,4007.3903614614087,6143.06
17,Neon,Blue,0.86-high,6.038739685600345,7032.41
18,Neon,Blue,0.86-high,145.1121330049266,6929.47
19,Neon,Blue,0.86-high,428.9988067212013,6717.04
20,Neon,Blue,0.86-high,480.43482836994644,6678.28
21,Neon,Blue,0.86-high,585.4464733174067,6598.95
22,Neon,Blue,0.86-high,672.6886223476754,6532.88
23,Neon,Blue,0.86-high,707.4171727596947,6506.53
24,Neon,Blue,0.86-high,844.7033532391351,6402.25
25,Neon,Blue,0.86-high,870.0082919358945,6382.99
26,Neon,Blue,0.86-high,933.8478056036515,6334.43
27,Neon,Blue,0.86-high,1023.0974587854549,6266.5
28,Neon,Blue,0.86-high,1087.7734671315725,6217.28
29,Neon,Blue,0.86-high,1185.3178700884716,6143.06
30,Neon,Blue,0.86-high,1247.0108183886296,6096.16
31,Neon,Blue,0.86-high,1334.1288026073262,6030.0
32,Neon,Blue,0.86-high,1446.458898522959,5944.83
33,Neon,Blue,0.86-high,1529.6718338941853,5881.9
34,Neon,Blue,0.86-high,1568.6152417186252,5852.49
35,Neon,Blue,1.18-ctr,1003.922713458538,5852.49
36,Neon,Blue,1.18-ctr,964.7897323759606,5881.9
37,Neon,Blue,1.18-ctr,881.0633534903487,5944.83
38,Neon,Blue,1.18-ctr,840.2519199755818,5975.53
39,Neon,Blue,1.18-ctr,767.7059360690764,6030.0
40,Neon,Blue,1.18-ctr,708.6572105777333,6074.34
41,Neon,Blue,1.18-ctr,708.6572105777333,6074.34
42,Neon,Blue,1.18-ctr,679.5698069293892,6096.16
43,Neon,Blue,1.18-ctr,617.0222679796192,6143.06
44,Neon,Blue,1.18-ctr,589.6093850851047,6163.59
45,Neon,Blue,1.18-ctr,517.8641461622695,6217.28
46,Neon,Blue,1.18-ctr,451.9793575260541,6266.5
47,Neon,Blue,1.18-ctr,400.6171876507969,6304.79
48,Neon,Blue,1.18-ctr,360.80763122257343,6334.43
49,Neon,Blue,1.18-ctr,295.46408024922295,6382.99
50,Neon,Blue,1.18-ctr,269.5069352560989,6402.45
51,Neon,Blue,1.18-ctr,128.41948509094792,6506.53
52,Neon,Blue,1.18-ctr,92.61009826012204,6532.88
53,Neon,Blue,1.18-ctr,2.641256063933042,6598.95
54,Neon,Red,1.18-ctr,455.85934646266924,9148.67
55,Neon,Red,1.18-ctr,734.9683428606936,8853.87
56,Neon,Red,1.18-ctr,803.4035745485124,8780.62
57,Neon,Red,1.18-ctr,922.6060721833882,8654.38
58,Neon,Red,1.18-ctr,1072.061854914339,8495.36
59,Neon,Red,1.18-ctr,1182.6476946961066,8377.61
60,Neon,Red,1.18-ctr,1255.1373752428758,8300.36
61,Neon,Red,1.18-ctr,2023.071626512969,7488.87
62,Neon,Red,1.18-ctr,2071.0526438269967,7438.9
63,Neon,Red,1.18-ctr,2258.025434422236,7245.17
64,Neon,Red,1.18-ctr,2327.268950771502,7173.94
65,Neon,Red,1.18-ctr,2465.7006626514903,7032.41
66,Neon,Red,1.18-ctr,2567.2530167136033,6929.47
67,Neon,Red,1.18-ctr,2779.2826925939794,6717.04
68,Neon,Red,1.18-ctr,2818.3861092910724,6678.28
69,Neon,Red,1.18-ctr,2898.814866276236,6598.95
70,Neon,Red,1.18-ctr,2993.3162829301477,6506.53
71,Neon,Red,1.18-ctr,3101.0192664475576,6402.25
72,Neon,Red,1.18-ctr,3121.0681199655064,6382.99
73,Neon,Red,1.18-ctr,3171.747343482326,6334.43
74,Neon,Red,1.18-ctr,3243.1766424329167,6266.5
75,Neon,Red,1.18-ctr,3374.5057604942604,6143.06
76,Neon,Red,1.18-ctr,3424.978183252868,6096.16
77,Neon,Red,1.18-ctr,3496.7882265144344,6030.0
78,Neon,Red,1.18-ctr,3590.302576468222,5944.83
79,Neon,Red,1.18-ctr,3660.2094412599563,5881.9
80,Neon,Red,1.18-ctr,3693.153920561919,5852.49
81,Neon,Red,1.18-ctr,440.782700153851,5852.49
82,Neon,Red,1.18-ctr,400.90314107718336,5881.9
83,Neon,Red,1.18-ctr,315.33248863817124,5944.83
84,Neon,Red,1.18-ctr,44.261233416809965,6143.06
85,Neon,Red,1.18-ctr,108.68816608489004,6096.16
86,Neon,Red,1.18-ctr,138.55294627800336,6074.34
87,Neon,Red,1.18-ctr,199.22019567168647,6030.0
88,Neon,Red,1.18-ctr,273.53558762355317,5975.53
89,Neon,Red,1.18-ctr,167.7019663720257,8853.87
90,Neon,Red,1.18-ctr,237.87950968228068,8780.62
91,Neon,Red,1.18-ctr,359.54504475569206,8654.38
92,Neon,Red,1.18-ctr,511.6711320113309,8495.36
93,Neon,Red,1.18-ctr,623.8199481363374,8377.61
94,Neon,Red,1.18-ctr,697.0745024439923,8300.36
95,Neon,Red,1.18-ctr,1465.1711399343462,7488.87
96,Neon,Red,1.18-ctr,1512.5945522160007,7438.9
97,Neon,Red,1.18-ctr,1697.3616646421704,7245.17
98,Neon,Red,1.18-ctr,1765.5335169159885,7173.94
99,Neon,Red,1.18-ctr,1901.884322808501,7032.41
100,Neon,Red,1.18-ctr,2001.1501745740638,6929.47
101,Neon,Red,1.18-ctr,2208.2595571063953,6717.04
102,Neon,Red,1.18-ctr,2246.3810237450484,6678.28
103,Neon,Red,1.18-ctr,2324.5331359665806,6598.95
104,Neon,Red,1.18-ctr,2416.285643636628,6506.53
105,Neon,Red,1.18-ctr,2520.4790357806332,6402.25
106,Neon,Red,1.18-ctr,2539.8148568473953,6382.99
107,Neon,Red,1.18-ctr,2588.6724736477227,6334.43
108,Neon,Red,1.18-ctr,2657.3725058129494,6266.5
109,Neon,Red,1.18-ctr,2783.735559204517,6143.06
110,Neon,Red,1.18-ctr,2832.0784229863934,6096.16
111,Neon,Red,1.18-ctr,2900.72948923312,6030.0
112,Neon,Red,1.18-ctr,2989.847099538143,5944.83
113,Neon,Red,1.18-ctr,3056.278261108322,5881.9
114,Neon,Red,1.18-ctr,3087.859663872213,5852.49
115,Ar,Red,2.0-low,346.6623633164447,8667.94
116,Ar,Red,2.0-low,486.8119425724382,8521.44
117,Ar,Red,2.0-low,579.0639085562043,8424.65
118,Ar,Red,2.0-low,594.6930600624137,8408.21
119,Ar,Red,2.0-low,731.1124921735874,8264.52
120,Ar,Red,2.0-low,872.4635510801733,8115.31
121,Ar,Red,2.0-low,883.4317295285236,8103.69
122,Ar,Red,2.0-low,1030.4607171538528,7948.18
123,Ar,Red,2.0-low,1241.9652928387852,7724.21
124,Ar,Red,2.0-low,1326.6724652785626,7635.11
125,Ar,Red,2.0-low,1565.3220396529348,7383.98
126,Ar,Red,2.0-low,1670.789259881408,7272.94
127,Ar,Red,2.0-low,1791.4004421318828,7147.04
128,Ar,Red,2.0-low,1868.04479056371,7067.22
129,Ar,Red,2.0-low,1966.3636430354497,6965.43
130,Ar,Blue,0.86-high,96.68566467615727,6965.43
131,Ar,Blue,0.86-high,134.01701516869036,6937.66
132,Ar,Blue,0.86-high,223.1875094987086,6871.29
133,Ar,Blue,0.86-high,381.33401052245034,6752.83
134,Ar,Blue,0.86-high,481.77961852824404,6677.28
135,Ar,Blue,0.86-high,826.1265998741609,6416.31
136,Ar,Blue,0.86-high,867.6447598018648,6384.72
137,Ar,Blue,0.86-high,1331.2451429611806,6032.13
138,Ar,Blue,0.86-high,1489.7104864818205,5912.09
139,Ar,Blue,0.86-high,1520.7513738392408,5888.58
140,Ar,Blue,0.86-high,1837.3042112607134,5650.7
141,Ar,Blue,0.86-high,1896.2262700996637,5606.73
142,Ar,Blue,0.86-high,1960.692102678019,5558.7
143,Ar,Blue,0.86-high,2045.6504766292503,5495.87
144,Ar,Blue,0.86-high,2421.765596016703,5187.75
145,Ar,Blue,0.86-high,2468.7442980210476,5162.29
146,Ar,Blue,0.86-high,3465.5138344894117,4510.73
147,Ar,Blue,0.86-high,4052.2020492701026,4158.59
148,Ar,Blue,0.86-high,3978.351517198157,4200.67
149,Ar,Red,2.0-low,3781.7815712993865,3948.97
150,Ar,Red,2.0-low,3613.753596882076,4044.42
151,Ar,Red,2.0-low,3421.122173385306,4158.59
152,Ar,Red,2.0-low,3352.490661501013,4200.67
153,Ar,Red,2.0-low,3256.961979042994,4259.36
154,Ar,Red,2.0-low,3236.4477602746515,4272.17
155,Ar,Red,2.0-low,3192.002475468613,4300.1
156,Ar,Red,2.0-low,3138.4666439820835,4333.56
157,Ar,Red,2.0-low,2866.365235450053,4510.73
158,Ar,Red,2.0-low,1898.3123455907041,5162.29
159,Ar,Red,2.0-low,1852.1965584508812,5187.75
160,Ar,Red,2.0-low,1480.158904217375,5495.87
161,Ar,Red,2.0-low,1395.7757467176982,5558.7
162,Ar,Red,2.0-low,1331.535693228278,5606.73
163,Ar,Red,2.0-low,1272.7483795863247,5650.7
164,Ar,Red,2.0-low,955.749761114617,5888.58
165,Ar,Red,2.0-low,924.5694581952191,5912.09
166,Ar,Red,2.0-low,764.7964130806877,6032.13
167,Ar,Red,2.0-low,293.1188122563447,6384.72
168,Ar,Red,2.0-low,250.47520183733684,6416.31
169,Ar,Red,1.18-ctr,383.6408386312211,9224.5
170,Ar,Red,1.18-ctr,480.3030365789775,9122.97
171,Ar,Red,1.18-ctr,909.9124699551966,8667.94
172,Ar,Red,1.18-ctr,1047.571536614095,8521.44
173,Ar,Red,1.18-ctr,1138.4281764149123,8424.65
174,Ar,Red,1.18-ctr,1153.8630743222213,8408.21
175,Ar,Red,1.18-ctr,1288.7950142819666,8264.52
176,Ar,Red,1.18-ctr,1429.0567231030543,8115.31
177,Ar,Red,1.18-ctr,1440.0093498341855,8103.69
178,Ar,Red,1.18-ctr,1531.8728968776006,8006.16
179,Ar,Red,1.18-ctr,1523.731168583046,8014.79
180,Ar,Red,1.18-ctr,1586.5617367376342,7948.18
181,Ar,Red,1.18-ctr,1798.6659007141557,7724.21
182,Ar,Red,1.18-ctr,1883.3534745484292,7635.11
183,Ar,Red,1.18-ctr,1998.387469058987,7514.65
184,Ar,Red,1.18-ctr,2008.7243106690812,7503.87
185,Ar,Red,1.18-ctr,2123.8412356171616,7383.98
186,Ar,Red,1.18-ctr,2231.103413645528,7272.94
187,Ar,Red,1.18-ctr,2353.4437718774175,7147.04
188,Ar,Red,1.18-ctr,2431.5051631401834,7067.22
189,Ar,Red,1.18-ctr,2531.671239450831,6965.43
190,Ar,Red,0.86-high,548.2705900605222,9657.79
191,Ar,Red,0.86-high,955.0479898138175,9224.5
192,Ar,Red,0.86-high,1049.906609404569,9122.97
193,Ar,Red,0.86-high,1474.994317187814,8667.94
194,Ar,Red,0.86-high,1612.2278338500553,8521.44
195,Ar,Red,0.86-high,1703.1048272268658,8424.65
196,Ar,Red,0.86-high,1718.5487510448538,8408.21
197,Ar,Red,0.86-high,1853.9139686540427,8264.52
198,Ar,Red,0.86-high,1995.083794120693,8115.31
199,Ar,Red,0.86-high,2006.1055079841788,8103.69
200,Ar,Red,0.86-high,2090.6332298181974,8014.79
201,Ar,Red,0.86-high,2098.866386887764,8006.16
202,Ar,Red,0.86-high,2154.1680860991078,7948.18
203,Ar,Red,0.86-high,2369.2787409573752,7724.21
204,Ar,Red,0.86-high,2455.4458438734096,7635.11
205,Ar,Red,0.86-high,2572.7736783907694,7514.65
206,Ar,Red,0.86-high,2583.3221409796556,7503.87
207,Ar,Red,0.86-high,2701.09169763016,7383.98
208,Ar,Red,0.86-high,2811.088569552357,7272.94
209,Ar,Red,0.86-high,2936.974747829032,7147.04
210,Ar,Red,0.86-high,3017.4739384986046,7067.22
211,Ar,Red,0.86-high,3121.0524974127684,6965.43
212,Ar,Blue,2.0-Low,181.200050994251,6043.22
213,Ar,Blue,2.0-Low,196.18192846342973,6032.13
214,Ar,Blue,2.0-Low,359.8489704060263,5912.09
215,Ar,Blue,2.0-Low,392.1385520445791,5888.58
216,Ar,Blue,2.0-Low,713.8472906795756,5650.7
217,Ar,Blue,2.0-Low,773.2857816404423,5606.73
218,Ar,Blue,2.0-Low,838.118602211694,5558.7
219,Ar,Blue,2.0-Low,923.0939582029338,5495.87
220,Ar,Blue,2.0-Low,1341.6295153723383,5187.75
221,Ar,Blue,2.0-Low,1376.1902404956745,5162.69
222,Ar,Blue,2.0-Low,2277.6932508875434,4522.32
223,Ar,Blue,2.0-Low,2294.7466129062186,4510.73
224,Ar,Blue,2.0-Low,2831.480329957586,4158.59
225,Ar,Blue,2.0-Low,3014.9944528458773,4044.42
226,Ar,Blue,2.0-Low,3174.6018802457247,3948.97
227,Kr,Red,1.18-ctr,3672.502928161673,5870.92
228,Kr,Red,1.18-ctr,1928.8419329569124,7587.41
229,Kr,Red,1.18-ctr,1915.4333478863143,7601.55
230,Kr,Red,1.18-ctr,1835.6400039003186,7685.25
231,Kr,Red,1.18-ctr,1826.7931009267284,7694.54
232,Kr,Red,1.18-ctr,1674.7908226476752,7854.82
233,Kr,Red,1.18-ctr,1481.6166501700575,8059.5
234,Kr,Red,1.18-ctr,1430.8512922118866,8112.9
235,Kr,Red,1.18-ctr,1358.781355167532,8190.06
236,Kr,Red,1.18-ctr,1289.9996659919593,8263.24
237,Kr,Red,1.18-ctr,1257.3207765089323,8298.11
238,Kr,Red,1.18-ctr,1059.380872995208,8508.87
239,Kr,Red,1.18-ctr,807.6332662259409,8776.75
240,Kr,Red,1.18-ctr,664.2745257866234,8928.69
241,Kr,Blue,0.86-high,178.41455838883726,6904.68
242,Kr,Blue,0.86-high,773.5309438107427,6456.29
243,Kr,Blue,0.86-high,819.9246748246702,6421.03
244,Kr,Blue,0.86-high,1381.7801472301105,5993.85
245,Kr,Blue,0.86-high,1544.202475568104,5870.92
246,Kr,Blue,0.86-high,1945.2721867397604,5570.29
247,Kr,Blue,0.86-high,1956.1353183635251,5562.23
248,Kr,Blue,0.86-high,3478.6919550438306,4502.35
249,Kr,Blue,0.86-high,3540.1368046252683,4463.69
250,Kr,Blue,0.86-high,3681.8374559416734,4376.12
251,Kr,Blue,0.86-high,3775.5950565862504,4319.58
252,Kr,Blue,0.86-high,3852.1601090385066,4273.97
253,Kr,Red,0.86-high,459.4097795376078,9751.76
254,Kr,Red,0.86-high,1231.316752302804,8928.69
255,Kr,Red,0.86-high,1373.2918312223062,8776.75
256,Kr,Red,0.86-high,1624.0204212699266,8508.87
257,Kr,Red,0.86-high,1822.243001969475,8298.11
258,Kr,Red,0.86-high,1855.1252707642936,8263.24
259,Kr,Red,0.86-high,1924.2814919682146,8190.06
260,Kr,Red,0.86-high,1997.638618965186,8112.9
261,Kr,Red,0.86-high,2005.4634281195235,8104.37
262,Kr,Red,0.86-high,2048.0816197169042,8059.5
263,Kr,Red,0.86-high,2243.502665828309,7854.82
264,Kr,Red,0.86-high,2397.8759129311484,7694.54
265,Kr,Red,0.86-high,2406.866428124308,7685.25
266,Kr,Red,0.86-high,2488.0318082306208,7601.55
267,Kr,Red,0.86-high,2501.8019411807386,7587.41
268,Kr,Blue,2.0-Low,248.59774497350236,5993.85
269,Kr,Blue,2.0-Low,415.8295928388728,5870.92
270,Kr,Blue,2.0-Low,822.6680107306217,5570.29
