,disp,pixel,wave
0,B400,738.6976834079077,3888.65
1,B400,909.2195716282887,4198.32
2,B400,1057.9657959337703,4471.48
3,B400,1190.4525041558245,4713.15
4,B400,1304.9673399764824,4921.93
5,B400,1356.4364188891304,5015.68
6,B400,1830.6062908447536,5875.62
7,R300,88.70071083070457,9657.78
8,R300,322.7673869995086,9122.97
9,R300,626.06309876967,8424.65
10,R300,646.3811193019432,8377.61
11,R300,759.8867902501529,8115.31
12,R300,967.5168107174193,7635.11
13,R300,1052.3793725438852,7438.9
14,R300,1076.125043981048,7383.98
15,R300,1136.209926159245,7245.17
16,R300,1214.0868700756853,7065.19
17,R300,1228.4147524191164,7032.41
18,R300,1257.420392597817,6965.43
19,R300,1382.1329928341052,6678.15
20,R300,1502.2829712033777,6402.25
21,R300,1615.4642764144553,6143.06
22,R300,1732.339448992968,5875.62
